id,"contentID","videoID","title","date","era","members","blurred","songs","location","summary",views,likes,comments
59,"ep59","6TJPdPCKuoM","이달의소녀탐구 #59 (LOONA TV #59)","January 18, 2017","YeoJin Solo ","YeoJin, HaSeul, HyunJIn, HeeJin","--","Kiss Later","","0:03 -- YeoJin introduces herself.\n0:13 -- YeoJin: “They called me bean~”; HaSeul: “She looks like lentil bean”\n YeoJin: “No, I’m not. Lentil bean is so small.”\n0:19 -- HyunJin walks towards YeoJin: “You are so small~!”\n0:22 -- The 4 click a selfie and admire it. (HyunJin’s wink ?)\n0:32 -- HeeJin mentions how HyunJin takes a lot of selfies from different angles.",108283,3566,162
60,"ep60","sFZ0FeYkBCc","이달의소녀탐구 #60 (LOONA TV #60)","January 20, 2017","YeoJin Solo","YeoJin, 3H","--","Kiss Later","Incheon Airport","0:04 -- They are about to take a flight to Taiwan. YeoJin is asked how she is feeling\n She mentions that she is very excited.\n0:09 -- All the girls take the names of their locations.\n0:13 -- HyunJin asks haSeul which was her favourite place and HaSeul mentions that\n she liked Iceland the most.\n0:18 -- Iceland flashbacks of the Curse of HaSeul appear.\n0:23 -- HyunJin: “She’s a liar…” and they all depart for Taiwan.",100103,3019,74
61,"ep61","REiKctLhUs0","이달의소녀탐구 #61 (LOONA TV #61)","January 21, 2017","YeoJin Solo","YeoJin, 3H","--","My Sunday","Incheon Airport / Taiwan","They are in the flight to Taiwan. YeoJin and HyunJin are ready!!\n0:11 -- All of them are very excited upon reaching Taiwan. They enjoy the fresh weather\n and want to explore Taiwan.\n0:27 -- They all go to the MV filming place happily. But the girls fell asleep quite fast. ?",106852,3156,95
62,"ep62","ppMg4fzTwu8","이달의소녀탐구 #62 (LOONA TV #62)","January 23, 2017","YeoJin Solo","YeoJin, 3H","--","My Melody","Incheon Airport / Taiwan","0:02 --HaSeul mentions how this is YeoJin’s first foreign trip and that she has to take care\n of her being the oldest member. (MomSeul ?) \n0:10 -- YeoJin has a photoshoot and HaSeul teaches her how to pose. YeoJin looks awkward as this is her first ever photoshoot. \n0:27 -- PD asks HaSeul what she thinks about YeoJin’s photoshoot. HaSeul mentions that YeoJin still has to learn a lot from her and looks at her like a coach.",95588,2820,98
63,"ep63","widrp9k14cw","이달의소녀탐구 #63 (LOONA TV #63)","January 25, 2017","YeoJin Solo","HaSeul, HeeJin","--","My Sunday","Taiwan","The photoshoot started without any break on the first day.\n0:10 -- HaSeul gives HeeJin a teddy bear ? and Heekki imitates the bear. Then they start playing with it.\n0:20 -- HaSeul is summoned and HeeJin continues to play with it.",92551,2796,54
64,"ep64","MuhtvQXlrcA","이달의소녀탐구 #64 (LOONA TV #64)","January 26, 2017","YeoJin (2Jin)","HeeJin, HyunJin","--","My Sunday","Taiwan","It is very windy in Taiwan.\n0:03 -- HeeJin’s and HyunJin’s hair are flying. They mention that they heard Taiwan was\n hot but it is super cold at the moment. But the filming continues\n0:20 -- HyunJin: “I will film a commercial for AC!” (The queen of commercials in LOOΠΔ!)",91685,2668,62
65,"ep65","9e_zP7iIugQ","이달의소녀탐구 #65 (LOONA TV #65)","January 30, 2017","YeoJin (2Jin)","2Jin","--","My Sunday","Taiwan","0:03 -- HyunJin shows HeeJIn the ‘wooing’ dance. HeeJIn tries to imitate it but fails.\n continue to goof around. \n0:20 -- They do the dance together but HyunJin trolls HeeJin.\n0:35 -- HeeJin gives HyunJin a hug. (?)",99752,3273,84
66,"ep66","hI430YQ2SgI","이달의소녀탐구 #66 (LOONA TV #66)","January 31, 2017","YeoJin (2Jin)","HyunJin, HaSeul, HeeJIn","--","My Sunday","Taiwan","0:06 -- HaSeul and HyunJin watch HeeJin doing a photoshoot. HaSeul: “She pretends to\n be pretty!”\n0:14 -- They try acting and HaSeul messes it up and hides behind HyunJin’s hair.\n0:23 -- HyunJin tries acting and HaSeul interrupts her by barking. HyunJin: “I am at a loss\n of words. HaSeul: “Yeah! Good~!”. (It’s so silly)",97027,3035,83
67,"ep67","UpH36oZF4NM","이달의소녀탐구 #67 (LOONA TV #67)","February 1, 2017","YeoJin & HaSeul","YeoJin, HeeJin","--","My Melody","Taiwan","It is the last filming of the day and YeoJin looks super happy.\n0:10 -- Yeojin mentions that there is a puppy and it starts walking around the girls.\n0:17 -- HeeJin: “It’s so cute…!”. She approaches the dog but it walks away. She names it Kkami~. \n0:10 -- HeeJin: “Kkami~ You are sitting in a funny pose.”. She approaches it again but fails again.",90400,2701,72
68,"ep68","fCJqlLiiPcQ","이달의소녀탐구 #68 (LOONA TV #68)","February 2, 2017","YeoJin (2Jin)","2Jin","--","My Sunday","Taiwan","0:04 -- HeeJin mentions how the weather has become sunny.\n0:12 -- HyunJin and HeeJin enjoy the sunlight. HeeJin makes noises.\n0:16 -- HyunJin: “Yahoo!”\n0:20 -- HeeJin is basking in the sun. HyunJin: “You look like a mad woman.\n0:25 -- They show off their v-necks and start a word chain.",109365,3577,115
69,"ep69","0pvN8oLoizE","이달의소녀탐구 #69 (LOONA TV #69)","February 4, 2017","YeoJin & HaSeul","YeoJin, HaSeul (off-camera)","--","My Melody","Taiwan","YeoJin is working diligently now.\n0:02 -- YeoJin: “Hello~”. HaSeul asks why she doesn’t look happy. YeoJin does her funny\n reaction.\n0:10 -- HaSeul follows her with a camcorder and asks where she is going. \n0:15 -- YeoJin (Very Naive): “I don’t know. Do I look pretty~?”. HaSeul: “No~”.\nShe went back to work. No more questions.",88293,2669,62
