id,"contentID","videoID","title","date","era","members","blurred","songs","location","summary",views,likes,comments
225,"ep225","zEm-Y3hjVHI","이달의소녀탐구 #225 (LOONA TV #225)","November 30, 2017","Yves Solo","Yves, ViVi","Chuu","new","Around Studio, Seoul","0:01 -- Yves is preparing for her photoshoot\n0:45 -- ViVi talking about how she helped Yves",104928,4699,519
226,"ep226","XVZOqjypxFI","이달의소녀탐구 #226 (LOONA TV #226)","December 1, 2017","Yves Solo","Yves, ViVi, HaSeul ","Chuu","D-1","Around Studio, Seoul","0:01 -- Members talking about how cold it was\n0:28 -- The secret behind the beautiful feathers are revealed. It was staffs’ effort all \nalong.\n0:38 -- HaSeul talking about why she had put a white feather on her hair.",83340,3460,250
227,"ep227","L1dOokFPMDQ","이달의소녀탐구 #227 (LOOΠΔ TV #227)","December 2, 2017","Yves Solo","Yves, Kim Lip, ViVi, HaSeul","--","D-1","Photoshoot site.","0:01 -- Continuation of Yves’s Photoshoot\n0:06 -- HaSeul, on the other hand is busy with a dubbing app which is kinda cute.\n0:18 -- ViVi’s attempt of aegyo.\n0:27 -- Kim Lip doing an aegyo.",79610,3554,255
228,"ep228","To2EaYo3IdE","이달의소녀탐구 #228 (LOONA TV #228)","December 5, 2017","Yves Solo","Yves, HaSeul, Heejin","--","new","Yeonnam-dong,","0:06 -- Yves introducing herself.\n0:10 -- HaSeul and Heejin arrived at the site.\n0:15 -- Heejin introducing Yves.",79253,3449,337
229,"ep229","wJWcKE9hkQE","이달의소녀탐구 #229 (LOONA TV #229)","December 6, 2017","Yves Solo","HaSeul, Heejin, Yves","--","The Carol","Yeonnam-dong","0:01 -- HaSeul and Heejin thinking of a good duo name for them. And so HaHee was created.\n0:20 -- Apparently, HaHee took over this episode\n0:51 -- LOONA TV PD-nim pushing all his efforts for HaHee as he shakes the curtains for an effect.",84584,3374,301
230,"ep230","wLcwGRXIH1o","이달의소녀탐구 #230 (LOONA TV #230)","December 7, 2017","Yves Solo","Yves, HaSeul, Heejin","--","new","Yeonnam-dong","0:01 -- Yves is preparing for the photoshoot again\n0:08 -- HaHee talking about Yves day and ending up with Heejin making a pun “진짜 오늘 이쁘데이 (Today is really pretty.)” 이쁘데이 (Yves Day) sounds like 이쁘대 which is short of 이쁘다고 (Pretty).\n0:19 -- Yves’s photoshoot continues\n0:31 -- Yves’s interview with PD-nim and her taking selfies.",79125,3367,249
231,"ep231","zJGnE7s9UVo","이달의소녀탐구 #231 (LOONA TV #231)","December 8, 2017","Yves Solo","Yves, HaSeul, HeeJin","--","D-1","Yeonnam-dong","0:08 -- HaHee in changed clothes. They do a goofy dance.\n0:20 -- HaHee have their own photoshoot and then on with Yves.\n0:45 -- HeeJin loves Yves’ smile (so do we).",75156,3369,256
232,"ep232","CcKmtftKeLE","이달의소녀탐구 #232 (LOONA TV #232)","December 11, 2017","Yves Solo","Yves, HaSeul, HeeJin","--","new","Yeonnam-dong","0:15 -- Yves and HaHee photoshoot ends. They thank everyone.\n0:32 -- Yves elaborates on her experience with the photoshoot.\n0:49 -- Yves’ finger hearts.",76122,3678,233
233,"ep233","H6D6cJ_TIgQ","이달의소녀탐구 #233 (LOONA TV #233)","December 14, 2017","Yves Solo","Yves, OT8 (except 2Jin)","--","new","MV Shoot Location","Yves’ MV filming begins!\n0:10 -- OT9 shows off their new LOOΠΔ customized jackets.\n0:30 -- KimSeul mention that it is cold but they have to enjoy this weather too. HaSeul is guilty of messing up the weather (The Curse strikes again).\n0:42 -- Yves is shivering while she performs.",86814,4230,362
234,"ep234","-4RxBNbMyQ4","이달의소녀탐구 #234 (LOONA TV #234)","December 15, 2017","Yves Solo","Yves, OT8 (Except 2Jin)","--","new, Valentine Girl","MV Shoot Location","Yves is shooting for her MV.\n0:12 -- JinSoul and ViVi show off the new wide angle camera. Everyone else joins them.\n0:29 -- SoulRry are jumping to keep themselves warm. ViVi joins them.\n0:34 -- KimSeul see a dog and go after it.\n0:46 -- Kim Lip jumps like the dog.",86720,4135,305
