id,"contentID","videoID","title","date","era","members","blurred","songs","location","summary",views,likes,comments
265,"ep265","9PJ75Zpwq_4","이달의소녀탐구 #265 (LOONA TV #265)","January 31, 2018","Go Won Solo","Go Won, Chuu, Yves","Olivia Hye (?)","One & Only","Photoshoot Site","0:07 -- Go Won is taking her first photoshoot.\n0:12 -- Chuu seems to die seeing Go Won pose for the camera.\n0:17 -- Olivia Hye (?) somehow teaching Go Won some poses.\n0:39 -- Yves and Chuu teaching Go Won some poses.",135182,7647,848
266,"ep266","i2EOEaLouvw","이달의소녀탐구 #266 (LOONA TV #266)","February 1, 2018","Go Won Solo","Go Won, Chuu, Yves","--","One & Only","Photoshoot Site","0:01 -- Go Won getting used to the camera.\n0:27 -- Seniors Yves and Chuu helping Go Won with her photoshoot.\n0:41 -- Seniors Yves and Chuu talking about how hard was their photoshoot.",101140,5420,263
267,"ep267","Pw5SDA3rvkg","이달의소녀탐구 #267 (LOONA TV #267)","February 2, 2018","Go Won Solo","Go Won, Chuu, Yves","Olivia Hye","One & Only","Photoshoot Site","0:01 -- Yves and Chuu taking selfies together while Go Won is working on her photoshoot.\n0:07 -- Yves flicks Chuu. Chuu punches Yves.\n0:17 -- She tries to take a picture with Go Won but fails multiple times.",103620,5224,362
268,"ep268","a07lttBtm6o","이달의소녀탐구 #268 (LOONA TV #268)","February 5, 2018","Go Won Solo","Go Won, Chuu, Yves, JinSoul, HaSeul","--","One & Only","Photoshoot Site","0:14 -- Yves tries out JinSoul’s blonde hair.\n0:39 -- Photoshoot begins.\n0:54 -- Chuu praises her beauty.",89429,4697,254
269,"ep269","E5qhpd_tfkY","이달의소녀탐구 #269 (LOONA TV #269)","February 6, 2018","Go Won Solo","Chuu, Yves, JinSoul, HaSeul","--","See Saw","Photoshoot Site","0:03 -- 97liners make a song\n0:14 -- Chuu: “You guys look like girls from 1997~!!” \n0:29 -- “Gappunsa. It means a situation where the atmosphere is going down all of a sudden.\n0:37 -- YvesSoul bully each other (for fun). Then they praise each other and team up on HaSeul by saying they dislike ballads. HaSeul: “Cut!”",93225,4920,326
270,"ep270","LDUIcqzd2L4","이달의소녀탐구 #270 (LOONA TV #270)","February 7, 2018","Go Won Solo","Go Won, Yves, JinSoul, HaSeul","--","One & Only","Photoshoot Site","0:20 -- HaSeul and Yves look at Go Won as she does her photoshoot calling her a doll. Yves then calls herself and ugly doll. \n0:49 -- Go Won likes how she comes out on Camera.",91650,4409,246
271,"ep271","HcjaMTpGSSU","이달의소녀탐구 #271 (LOOΠΔ TV #271)","February 8, 2018","Go Won Solo","Go Won, Chuu, Yves, JinSoul, HaSeul","--","One & Only","Photoshoot Site","0:11 -- JinSoul smashes her finger hearts into the camera. Go Won’s shy finger hearts.\n0:28 -- They start talking about food. HaSeul has never tried Chicken feet and YveWon are disappointed.\n0:53 -- Three girls from ‘yyxy’ unit smile together.",89831,4593,337
272,"ep272","RZ2B4Zoe6NU","이달의소녀탐구 #272 (LOONA TV #272)","February 9, 2018","Go Won Solo","Go Won, Chuu, Yves, JinSoul, HaSeul","--","One & Only","Photoshoot Site","0:09 -- Chuu teaches Go Won on how to pose naturally.\n0:26 -- PD: “Your stage name is Adam” - Go Won: 👀.\n0:50 -- Her eyes are shaking. “Am I a boy!?”\n0:58 -- Yves: “I finally found my mate!” ;)",89394,4608,294
273,"ep273","nCy4V5LgPOI","이달의소녀탐구 #273 (LOONA TV #273)","February 10, 2018","Go Won Solo","Go Won, Chuu, Yves, JinSoul","--","One & Only","Photoshoot Site","0:02 -- Go Won’s and Chuu’s Photoshoot\n0:24 -- Yves and JinSoul take pictures but the polaroid breaks.\n0:31 -- Yves: “But did you know” (referring to a Korean TV show)\n0:43 -- Manager calls them ladies and that the cute concept doesn’t suit them.",86628,4803,325
274,"ep274","WksOIFSiGuI","이달의소녀탐구 #274 (LOOΠΔ TV #274)","February 12, 2018","Go Won Solo","Go Won, Chuu, Choerry, Kim Lip","Yves (off camera)","--","One & Only","\n0:01 -- Wild “Lip & Rry” appeared!\n0:08 -- Lippie & Choerry are the PD. They show Chuu and Go Won’s photoshoot. Her own transition.\n0:26 -- The shoot for the album ends.\n0:30 -- Go Won summarizes the photoshoot. She seems to like her blonde look. She praises the staff and thanks them for the help.",85444,4552,275
