id,"contentID","videoID","title","date","era","members","blurred","songs","location","summary",views,likes,comments
316,"ep316","1rQi3thA6oQ","이달의소녀탐구 #316 (LOONA TV #316)","April 19, 2018","Olivia Hye Solo","Olivia Hye, Go Won, Chuu, Yves","--","Egoist","Egoist MV shoot site","Last girl’s LOOΠΔ TV begins!!\n0:13 -- She finally appears (YAYY!!!) while the rest of the EDEN calls themselves the “Long Legs Unit~” (Lol).\n0:40 -- She mentions how she is still pretty nervous.",98889,6175,431
317,"ep317","k2RaQsZGy0s","이달의소녀탐구 #317 (LOONA TV #317)","April 20, 2018","Olivia Hye Solo","Olivia Hye, Go Won, Chuu, Yves","--","Egoist","Photoshoot Site","0:02 -- Olivia preps for her photoshoot.\n0:08 -- Yves and Chuu goof around outside. \n0:28 -- Chuu sees a rotary dial phone and is unable to use it. Go Won shows her how to use it. She calls her mom after that.\n0:46 -- Chuu raps what her mother told her upon Yves’ request. Go Won joins her. \n0:57 -- Ep ends with Chuu’s sound effects.",106321,7315,508
318,"ep318","66ldYPe3ZKQ","이달의소녀탐구 #318 (LOONA TV #318)","April 21, 2018","Olivia Hye Solo","Olivia Hye, Chuu, Yves","--","Rosy","Photoshoot Site","0:02 -- Olibeu is nervous about the photoshoot and Yves unnie gives her tips. Chuu starts copying Yves.\n0:45 -- Yves and Chuu praise her.",91048,5657,344
319,"ep319","_9ukT9HDX7Q","이달의소녀탐구 #319 (LOONA TV #319)","April 23, 2018","Olivia Hye Solo","Olivia Hye, Go Won, Chuu, Yves","--","Heart Attack","Photoshoot Site","Yves, Chuu and Go Won try to guess Olivia’s stage name.\nYves: “Adam?” - Go Won: “Absolutely not!” - Chuu: “A I CHUU WON!” (Yes, she yells as she proceeds to explain her logic behind it) Go Won copies Chuu and Yves unnie is done with both of them at this point.\n0:13 -- PD tells Hyejoo a few names and she despises them all. The rest keep guess new names.",89500,5670,410
320,"ep320","cpD1oKatNgA","이달의소녀탐구 #320 (LOONA TV #320)","April 24, 2018","Olivia Hye Solo","Olivia Hye, Go Won, Chuu, Yves","--","One & Only, Eclipse","Photoshoot Site","0:02 -- Chuu and Go Won take a Penguin Shot.\n0:27 -- Olivia practices her selfie clicking skill.\n0:42 -- Lippie’s sticker on Yves’, Go Won’s phone. (Looks pretty nice)",83697,5343,449
321,"ep321","rVXZFi8_8Pc","이달의소녀탐구 #321 (LOONA TV #321)","April 25, 2018","Olivia Hye Solo","Olivia Hye, Go Won, Chuu, Yves","--","Egoist","Photoshoot Site","0:01 -- They are wearing… Olivia: “Black & Whiteu” dresses. \n0:55 -- Go Won flaunts her clothes.",84025,5366,329
322,"ep322","shzOQ-LzGXY","이달의소녀탐구 #322 (LOONA TV #322)","April 26, 2018","Olivia Hye Solo","Olivia Hye, Go Won, Chuu, Yves","--","new","Photoshoot Site","0:06 -- Yves and Go Won high-five slowly.\n0:17 -- Yves talking about her days as a model.\n0:35 -- EDEN group photo.",86715,5971,441
323,"ep323","XKSd5hEgY5g","이달의소녀탐구 #323 (LOONA TV #323)","April 27, 2018","Olivia Hye Solo","Olivia Hye, Go Won, Chuu","--","Girl’s Talk","Photoshoot Site","0:18 -- Chuu yelling at Olivia and Go Won to cheer up while jumping.\n0:43 -- Chuu teaches Olivia “Rwa~” and “Rl” but she leaves disappointed.\n0:52 -- Chuu: “ㄹ~” as she closes in to the camera while Olivia clicks pics.",97255,6496,421
324,"ep324","nCV6ZM1skk4","이달의소녀탐구 #324 (LOOΠΔ TV #324)","April 28, 2018","Olivia Hye Solo","Olivia Hye, Go Won, Chuu, Yves","--","One & Only","Photoshoot Site","0:05 -- Go Won showing off the unit’s uniform.\n0:07 -- Go Won tries to blend into the yellow wall behind her.\n0:18 -- Yves mentions how Olivia has gotten used to the environment.\n0:39 -- Chuu wants to wear the uniform too. :chuuthumbsup:\n0:45 -- Yves points out that the uniform is similar to Principal Bernoulli Ench from Crayon Shin Chan.",88627,5547,270
325,"ep325","sQTmjp8LpEM","이달의소녀탐구 #325 (LOONA TV #325)","April 30, 2018","Olivia Hye Solo","Olivia Hye, Go Won, Chuu, Yves","--","Egoist","Photoshoot Site","0:25 -- “Yes! I am the 12th girl of the month.” She feels that her pictures will come out well. \n0:40 -- HaSeul unnie is so kind and cheerful she gave her advice throughout the photoshoot.\n0:46 -- I’ll work hard and practice for the choreo and the recording. Please support us!",84883,6215,316
