id,"contentID","videoID","title","date","era","members","blurred","songs","location","summary",views,likes,comments
375.5,"ep375a","DtTxb5SDr44","[Teaser] 이달의소녀탐구 #375.5 (LOONA TV #375.5)","August 18, 2018","[++]","LOOΠΔ","--","--","Multiple Locations","Τeaser for the debut concert and ++ album.\nEveryone is “Hi High” on something and doing weird stuff.",159897,19425,1114
376,"ep376","EobhrRCj6D4","이달의소녀탐구 #376 (LOONA TV #376)","August 21, 2018","[++]","HeeJin, HyunJin","--","Hi High","","LOONA TV IS BACK YEY!!\n0:12 -- HeeJin hikes up a mountain and hasn't hiked in ages. “HOO~~”\n0:17 -- She mentions that her hairstyle looks too different and then picks her pig tails. “This hairstyle is way too cute~”\n0:33 -- HeeJin's photoshoot.\n0:47 -- Another member is making her way up the hill. But, in a car! HeeJin: “Cool~ Ahh~ The Second Member~”\n0:57 -- HyunJin: “Hi~ It's a little spoiler”",107319,11388,760
377,"ep377","_Oii_-pt_Ys","이달의소녀탐구 #377 (LOONA TV #377)","August 22, 2018","[++]","Kim Lip, JinSoul","--","favOriTe","","0:01 -- The noise from the insect is annoying Kim Lip. She is scared of insects. However, she does her photoshoot, professionally!\n0:21 -- The photoshoot ends. “The are lots of bugs and it's too hot.” She wants to see how JinSoul does hers but it is too hot for her.\n0:37 -- JinSoul: “Hello~ It's JinSoul~” She points out the stickers and realizes they might not show up too well.\n0:48 -- Caps say “Is this real...? (reference to \n)",89445,8730,526
378,"ep378","FIUN-8uKgng","이달의소녀탐구 #378 (LOONA TV #378)","August 23, 2018","[++]","JinSoul, Olivia Hye, Yves","--","Perfect Love","","0:01 -- JinSoul mentions hwo the concept pof ++ is completly different from OEC.\n0:09 -- JinSoul's Cute Pose with a wink and a giggle and Hye watches her from behind.\n0:20 -- Hye: “I changed my hairstyle. Do I look young?” (too many references). Yves: “Maybe I'll just maintain this hairstyle.\n0:43 -- JinSoul passes the photoshoot baton to Yves. Apparently the three are the tallest and of the same height.",93153,8200,558
379,"ep379","ZCn7MRzfI4A","이달의소녀탐구 #379 (LOONA TV #379)","August 24, 2018","[++]","HaSeul, YeoJin, Choerry, Go Won, Chuu, Kim Lip","--","Perfect Love","Hi High Shoot Location","0:02 -- HeeJin: “Hi we are all the tall girls of LOOΠΔ - Hye: “I am the youngest but the tallest. I also have the most potential”\n0:17 -- LOONA Up Unit has a shoot first (More subunits!)\n0:21 -- Photoshoot conductor: “HyunJin, are you taking a high school graduation photo?”\n0:30 -- HyunJin: “OMG so hot. You have to eat Ice Cream when it's hot. You're hot too, aren't you?” as she blows the fan towards the camera.\n0:39 -- Kim Lip is losing it with the heat. JinSoul recalls the time they were in a desert for OEC.",86713,7753,374
380,"ep380","VOSfRBqUejA","이달의소녀탐구 #380 (LOONA TV #380)","August 25, 2018","[++]","Hi High","--","ViViD","Hi High Shoot Location","0:02 -- HaSeul: “Hello! It's the small girls of LOOΠΔ!” \n0:05 -- LOOΠΔ Line Unit walks towards her (More subunits confirmed!). HaSeul: “Twin tails~” while reffering to Choerry and YeoJin.\n0:14 -- Go Won wants to know how she looks and she seems super satisfied. “Everyone here is dressed like a little ghost.\n0:22 -- Chuu: “Annyeongggg~~~~” and then calls YeoJin over who put a flower in her hair. YeoJin: “Of course!\n0:32 -- Line unit is spinning round and round and that's the concept. Kim Lip: “Cute~ They are quite different with us.”\n0:50 -- Line unit's shooting is done. Everyone in the Up unit praise their cuteness.\n0:58 -- Yves: “I almost cried because it's been a while since we met” while refferring to Go Won as they are separated by height.",95055,8580,626
381,"ep381","ucApClwmgbU","이달의소녀탐구 #381 (LOONA TV #381)","August 27, 2018","[++]","Kim Lip, Yves","--","favOriTe","Hi High Teaser Shoot Location","0:07 -- Lippie is making weird noises at the corner. Yves mentions a mouthwash product that's too strong.\n0:12 -- Kim Lip: “I'm about to cry...” and then they start shooting a mouthwash commercial.\n0:16 -- Yves pours some for Kim Lip and Lippie takes it in in one shot. Yves: “It looks like an alcohol commercial, doesn't it?“
Lippie starts being extra and asks her why it's transparent.\n0:40 -- Lip pours some for Yves and Yves actually swallows it as well. Yves: “Mouthwash should be strong like this!”\n0:57 -- The two are glad they are adults so they can act like they were drinking. “ADULT!”",73963,7524,510
382,"ep382","S47rJt5f2bQ","이달의소녀탐구 #382 (LOONA TV #382)","August 28, 2018","[++]","LOOΠΔ","--","Hi High","favOriTe MV Teaser Shoot Location","0:01 -- ViVi is on the trampoline. She asks us to guess who's feet and says that they aren't HyunJin's.\n0:17 -- Quick pan to the other members who are jumping as well.\n0:37 -- Yves and Go Won are headed back to the car after the photo shoot while suggesting how they should jump.",75588,7540,391
383,"ep383","PapAxRZLX2k","이달의소녀탐구 #383 (LOONA TV #383)","August 29, 2018","[++]","ViVi, HaSeul, HyunJin, yyxy, OEC","--","Stylish","Hi High Photo Shoot Location","0:05 -- Hye points out her 'Apple hairstyle'. Chuu calls it cute.\n0:14 -- ViVi says that she put on too much mosquito repellent and it got into her mouth. “I might die because of this spray~”\n0:27 -- HaSeul and Choerry decide to go back in the car as its too warm.\n0:33 -- HyunJin has a photoshoot while wearing the white dress.\n0:44 -- ViVi kisses HyunJin and :hyunjinwtf:\n0:46 -- OEC and yyxy are having snacks together.\n0:57 -- Yves: “Put some sound effects” and she proceeds to bite the snack.",82134,7860,678
384,"ep384","RVD83lyWT4E","이달의소녀탐구 #384 (LOONA TV #384)","August 30, 2018","[++]","JinSoul, Yves, Kim Lip, HeeJin, LOOΠΔ Line Unit","--","Hi High","Hi High Photoshoot Shoot Location","0:04 -- The tall girls just finished the photo shoot. Yves: “and the short unit will do theirs”. LipSoul: “Short!”\n0:15 -- Yves asks the Line Unit for a dance battle and Choerry starts dancing. Cue Go Won break dancing.\n0:32 -- Lip sends HeeJin and she looks a little violent. The Line Unit photoshoot continues.\n0:40 -- Full group shoot and the photoshoot ends. Everyone is treated to Chicken (BBC taking such good care :'D)",81291,7481,443
385,"ep385","Ouy00h7b_HY","이달의소녀탐구 #385 (LOONA TV #385)","August 31, 2018","[++]","JinSoul, Yves, Go Won, YeoJin, Chuu","--","--","Photo Studio, Han River, Seoul","0:02 -- JinSoul, Yves, Go Won are super excited about the next shoot. YveWon: “JinSoul is our best senior!”\n0:17 -- JinSoul memeable puppy face followed by a hiar flip.\n0:27 -- She shows YveWon how she turned around but little does she know they are mocking. Sudden realization at 0:39.\n0:44 -- Yves imitates her but JinSoul isn't satisfied. They continue to mess around with their eyebrows. Go Won: “WHYYY~?”",90569,7723,536
386,"ep386","98A_Hc5f7m0","이달의소녀탐구 #386 (LOONA TV #386)","September 3, 2018","[++]","2Jin, Kim Lip, Choerry, JinSoul","--","--","Hi High Shoot Location","0:01 -- HeeJin is explaining HyunJin something about clicking pictures “We have to take pictures of each other. “HyunJin: “Why?” - HeeJin (with a funny face): “Cause they told me do that!” - HyunJin: “Umm~”\n0:13 -- 2Jin take an official picture with a smartphone as Kim Lip takes an official picture with a DSLR.\n0:35 -- “Kim Lip captures the PD camera as well.” JinSoul: “Do it like a real photographer.”\n0:43 -- Lippie starts talking about her hair how it looks luxorious. “It is the color of an eclipse” Meanwhile HyunJin pops up in the back. Lip: “I think she wants my hair!” and tries it on.\n0:55 -- HyunJin: “I think it looks good. Give it to me!?”",69840,6320,354
