id,"contentID","videoID","title","date","era","members","blurred","songs","location","summary",views,likes,comments
467,"ep467","pHVsf_WB5HA","이달의소녀탐구 #467 (LOONA TV #467)","January 31, 2019","[X X]","Olivia Hye, Go Won","--","Perfect Love, Let Me In","Airports (South Korea, Iceland)","Woo! New Era!!\n0:07 -- Go Won and Hye recollect that it has been a while since they were at the airport.\n0:16 -- Go Won and Hye: “Happy new year~”\n0:22 -- They are the only two members at the airport at that time since (accroding to Go Won) “[they] are most special members~”\n0:26 -- Olivia Hye starts to 'Hmm' and chooses her words carefully.\n0:32 - Go Won: “My face looks stupid today...”\n0:37 -- Hye talks about they both are the members most sensitive to cold and are going to Iceland. They will have to share the pain that HaSeul had to go through before.\n0:53 -- The two arrive in Iceland and they are freezing.",64333,9717,956
468,"ep468","uBD6sQoLoXM","이달의소녀탐구 #468 (LOONA TV #468)","February 1, 2019","[X X]","Olivia Hye, Go Won","--","Let Me In, One&Only","Iceland (Teaser Shoot Location)","It is really cold in Iceland and the two are freezing.\n0:08 -- Go Wo is worried that she'll be a bit cold.\n0:11 -- The camera shows the iconic Airplane with Let Me In as the background. It looks much colder with this song.\n0:16 -- Hye doesn't think it's that cold. Go Won looks skeptcal about that and says that Hye doesn't have to do any shooting on that day.\n0:24 -- Hye: “What if it rains?”\n0:29 -- The shooting begins and Olivia is enjoying her freedom wih Go Won acting in the back.\n0:39 Hye: “Who is she bowing low to?” and proceeds to ask multiple questions.\n0:51 -- “It's colder than I thought... “",60668,7740,620
469,"ep469","w-uhOBFDPyM","이달의소녀탐구 #469 (LOONA TV #469)","February 2, 2019","[X X]","Olivia Hye, Go Won","--","frozen","Iceland (Teaser Shoot Location)","0:01 -- Hyeju mentions that there is nothing but the plane at the location. As she moves around the camera, she zooms it in to her face by mistake.\n0:13 -- Go Won walks and walks and walks.\n0:28 -- Olivia Hye takes care of Go Won as she comes back.\n0:36 -- Hye: “The reason I didn't give her the jacket is because it makes me annoying.”\n0:51 -- It starts to rain and they have to take a break from the shooting. (HaSeul's curse once again)\n0:58 -- Olivia Hye predicted it before making it Olivia Hye's curse instead.",52404,6949,579
470,"ep470","nPcb7n_52zQ","이달의소녀탐구 #470 (LOONA TV #470)","February 6, 2019","[X X]","Olivia Hye, Go Won","--","dal segno","Iceland (Teaser Shoot Location)","0:01 -- Go Won is feeling the 'Curse of HaSeul' that she left on Iceland.\n0:11 -- Go Won just smiles without words.\n0:17 -- Hyejoo mentions that she was supposed to take care of Go Won but instead she is drinking Hot Tea (that kinda looks like Udon Soup)\n0:29 -- HyeWon hug ?. Go Won is glad that her part is done. (But little did she realize it wasn't).\n0:47 -- She has to run for a long time in Iceland. Go Won: “I wonder why we keep running always. Is it part of the LOOΠΔVERSE.” The PD replies “obviously “",45313,6099,337
471,"ep471","i1s0Opi6KpY","이달의소녀탐구 #471 (LOONA TV #471)","February 7, 2019","[X X]","Olivia Hye, Go Won","--","love4eva","Iceland (Teaser Shoot Location)","0:01 -- The two talk about where they are going since they have never been there before.\n0:07 -- Olivia Hye: “Why do you keep laughing?“ - Go Won: “I love this!”\n0:16 -- They roam around Iceland and go for shopping.\n0:20 -- Go Won picks up a toy rabbit: “Jeon HeeJIn~” . Hyejoo calls it a cute rabbit.\n0:24 -- They take a photo (by sticking their heads out of a cut out.\n0:46 -- They hang around some more and are finally at their hotel.\n0:53 -- Go Won: “HaSeul eonnie~ Are you wathing me?”\n[Their shoot in Iceland comes to an end]",47090,6185,346
472,"ep472","KMuyDtb4VpE","이달의소녀탐구 #472 (LOONA TV #472)","February 8, 2019","[X X]","Olivia Hye, Go Won","--","rendezvous 18.6y, Egoist, One&Only","Paris","The two are about to leave for Paris.\n0:07 -- They are in Paris Airport. The two seem quite excited about Paris.\n0:22 -- Hyejoo swag hours. (She takes a really stylish picture)\n0:27 -- Go Won swag hours? (She skips across the street)\n0:30 -- They arrive at a restaurant. (They did not like the food it seems)\n0:56 -- Go Won (soulless): “Delicious~” (She cannot lie)",46361,5376,376
473,"ep473","kCN86-al2Lc","이달의소녀탐구 #473 (LOONA TV #473)","February 9, 2019","[X X]","Olivia Hye, Go Won","--","Rosy","Paris (Teaser Shoot Location)","0:01 -- It's Olivia Hye's turn to shoot her part. But it's raining outside (oof! HaSeul).\n0:18 -- They start shooting indoors first. The two start contemplating why there are so many stairs in the LOOΠΔVERSE.\n0:25 -- It is a pun in Korean. 'Orrery Nim' did a great job at explaining this in the comments so I'll quote them here.\n“the pun explained, for non-korean-speakers:
It's based on the start of her name (oli), which sounds similar enough to “going up” or “raising up” (remember don't-RAISE-IT-or-lower-it-olivia-colombia-hye), so while they were talking about going up stairs all the time, she strikes, telling her... That's why she's oli-via hye”\n0:31 -- Hyejoo starts climbing the stairs for her shoot. Go Won: “Hwaiting~” and she wishes her well.\n0:45 -- Hyejoo says that she likes to shoot on the stairs like this. Go Won: “Go up a step!” (bruh Go Won lowkey savage!)\n0:54 -- She was referring to them standing on the staircase while shooting this part of the LOOΠΔ TV.",45749,4990,342
474,"ep474","A8kqRXgmytE","이달의소녀탐구 #474 (LOONA TV #474)","February 11, 2019","[X X]","Olivia Hye, Go Won","--","ViViD","Paris","It is night time in Paris.\n0:05 -- Go Won: “I can see the Eiffel Tower” (fun fact: taking images/videos of the Eiffel Tower at night is illegal. gg BBC)\n0:16 -- Hyejoo: “Seeing the Eiffel Tower irl is like looking at a toy.”\n0:24 -- Cuts to <a href=\"../../members/heejin/index.html#ep3\">HeeJin era where she is excited about the Eiffel Tower.<a>\n0:27 -- Go Won is waiting for it to twinkle at midnight. She looks around for someone to take a picture of her but she couldn't so she just poses in front of the LTV camera. Olivia Hye does the same. ",45881,5865,362
475,"ep475","mSNSSa41sco","이달의소녀탐구 #475 (LOONA TV #475)","February 12, 2019","[X X]","Olivia Hye, Go Won","--","Egoist","Paris (Teaser Shoot Location)","It's their last shooting day in Paris.\n0:08 -- Go Won knows that Hyejoo has a scene with a choker. She points out that the bruise on her neck makes it look like she is hurt.\n0:22 -- Go Won: “She has to do it with grace” (as she acts out her taking of the choker)\n0:30 -- She isn't sure if Hyejoo can do it nicely.\n0:36 -- She does it with style.\nThe filming is over and they sign off by talking about how they enjoyed the week.",43400,5589,210
476,"ep476","Zow0Kex9ouY","이달의소녀탐구 #476 (LOONA TV #476)","February 13, 2019","[X X]","Olivia Hye, Go Won","--","Hi High","Paris","The two are going on a shopping spree.\n0:06 -- Go Won: “Our goal is to buy at least one item.\n0:08 -- Go Won finds a Polariod but sh eisn't sure if they sell the films back in Korea.\n0:17 -- Hyejoo: “This place isn't suitable for us shopping...” (broke squad raise your hands ??)\n0:28 -- The two get to a restaurant and start eating.\n0:33 -- Go Won approves! Now they are off to shopping.\n0:44 -- Hyejoo mentions she loves cute stationary... (they didn't buy anything)",43471,5330,246
