id,"contentID","videoID","title","date","era","members","blurred","songs","location","summary",views,likes,comments
79,"ep79","zp0plt-_Tnc","이달의소녀탐구 #79 (LOONA TV #79)","March 14, 2017","LOOΠΔ ⅓","ViVi, HaSeul, HyunJin, HeeJin","--","Love & Live","Incheon Airport, Seoul","1/3 is ready to depart\n0:09 -- ViVi makes an appearance (before her debut)\n0:24 -- HaSeul thinks that even though ViVi is the oldest, she looks like the youngest member from all of ⅓.\n0:30 -- STRAWBERRIES~! ? ",101134,3318,150
80,"ep80","HgmFd_JKTkA","이달의소녀탐구 #80 (LOONA TV #80)","March 15, 2017","LOOΠΔ ⅓","ViVi, HaSeul, HyunJin, HeeJin","Probably staffers.","Love & Live","Incheon, Flight","They are on their way to New Zealand.\n0:22 -- A random foreigner approaches HaSeul and all the girls start crushing over him. (He seems interested in HaSeul only)\nThey depart for New Zealand.",116171,4146,181
81,"ep81","6lQk1V046o4","이달의소녀탐구 #81 (LOONA TV #81)","March 16, 2017","LOOΠΔ ⅓","ViVi, HaSeul, HyunJin, HeeJin","--","Valentine Girl","New Zealand","They arrive in the hotel in Auckland. It’s raining (HaSeulie!)\n0:11 - 2jin: “Annyeong~. Hiii~”. They randomly move the camera for a while.\n0:41 -- HyunJin shows off her physical strength. \n0:50 -- ViVi talking about sleep.",106467,3317,131
82,"ep82","zoft5JACcO4","이달의소녀탐구 #82 (LOONA TV #82)","March 17, 2017","LOOΠΔ ⅓","ViVi, HaSeul, HyunJin, HeeJin","--","Love & Live","New Zealand","They visit an amusement park in NZ.\n0:12 -- HyunJin: “It was boring~” (HyunBluff intensifies)\n0:15 -- HyunSeul go for a rollercoaster and they look scared.",103145,3619,170
83,"ep83","CA16hF2bueU","이달의소녀탐구 #83 (LOONA TV #83)","March 21, 2017","LOOΠΔ ⅓","ViVi, HaSeul, HyunJin, HeeJin","--","You and Me Together","Downtown, New Zealand","0:10 -- They look really happy and are about to eat.\n0:27 -- HeeJin is impressed that HyunJin ate the whole macaron at once.\nThey explain the concept of the shoot.",95818,2935,92
84,"ep84","WSuxbvOUExw","이달의소녀탐구 #84 (LOONA TV #84)","March 23, 2017","LOOΠΔ ⅓","ViVi, HaSeul, HyunJin, HeeJin","--","Fairy Tale","New Zealand","They call the day a perfect day and hope that the MV will be perfect too\n0:57 -- HaSeul: “To all the members of ⅓, and YeoJiniie, (is she a member or no?) Thank you so much~~”",128157,3670,148
85,"ep85","tyGiwDhacV8","이달의소녀탐구 #85 (LOONA TV #85)","March 24, 2017","LOOΠΔ ⅓","ViVi, HaSeul, HyunJin, HeeJin","Probably staffers.","Valentine Girl","New Zealand","The third day in New Zealand.\n0:03 -- HyunJin shoving tissues up her nose. She knows she’s in a girl group, right?\n0:10 -- HyunJin tissue nose close up.\n0:13 -- HeeJin reaction “You’re the member of a girl group!”\n0:18 -- Vivi language barrier. She doesn’t understand when HyunJin talks about going fishing for a Vivi.\n0:27 -- Vivi, “I don’t know.”\n0:32 -- Vivi, “Good weather, good feeling”\n0:36 -- 1, 2, 3, HeeJin, HyunJin and two staffers (?) run at each other.\n0:40 -- Jumping jumping!\n0:42 -- All four girls eating seafood together in New Zealand.\n0:59 -- Haseul: “Pyong!”",101464,3410,138
86,"ep86","J9CFvDgvJXU","이달의소녀탐구 #86 (LOONA TV #86)","March 28, 2017","LOOΠΔ ⅓","ViVi, HaSeul, HyunJin, HeeJin","--","Love & Live","New Zealand","Vivi is trying to film her running scenes but it’s raining. Damnit!\n0:39 -- “Johayo” Classic Vivi Johayo\n0:48 -- Group dance that was cut from Love & Live.",91204,2782,71
87,"ep87","o25-mCo2RkM","이달의소녀탐구 #87 (LOONA TV #87)","March 29, 2017","LOOΠΔ ⅓","ViVi, HaSeul, HyunJin, HeeJin","--","Love & Live","New Zealand","Filming at the running track in New Zealand. So much running.\n0:07 -- All four girls practice batton passing for their relay race. Hyujin coaches them not to look back for the batton, but all of them look back.\n0:23 -- “My Knee turned red” HeeJin classic pouty face.\n0:32 -- HyunJin looks off longingly and proclaims, “When are we going to stop running?” HyunJin has a bug on her nose for this proclamation.\n0:35 -- Camera operator HeeJin.",96212,2844,79
88,"ep88","Y1z79Y-XKdE","이달의소녀탐구 #88 (LOONA TV #88)","March 31, 2017","LOOΠΔ ⅓","ViVi, HaSeul, HyunJin, HeeJin","--","Love & Live, My Sunday","New Zealand","The last filming in New Zealand.\n0:05 -- Eye bulge HyunJin.\n0:09 -- HyunJin crossing her eyes.\n0:15 -- HyunJin and Haseul sing “My Sunday” together, but it’s soulless due to the heat.",87945,2747,101
