id,"contentID","videoID","title","date","era","members","blurred","songs","location","summary",views,likes,comments
183,"ep183","be2KQQ_Q8A8","이달의소녀탐구 #183 (LOONA TV #183)","September 22, 2017","ODD EYE CIRCLE","Choerry, JinSoul, Kim Lip","--","Girl Front","Incheon Intl. Airport,  Seoul","0:15 -- ODD EYE CIRCLE is glad they finally get to go abroad to film.\n0:20 -- Choerry: “New York!”. But they aren’t going to New York.\n0:38 -- Reviewing the plane entertainment system. “Ta-da!”",91251,3523,131
184,"ep184","QUfrsoQNjis","이달의소녀탐구 #184 (LOONA TV #184)","September 23, 2017","ODD EYE CIRCLE","Choerry, JinSoul, Kim Lip","--","LOONATIC","Los Angeles","0:07 -- ODD EYE CIRCLE all hyped up after landing in LA.\n0:34 -- KimSoul telling how people were amazed to see them.",85507,3219,203
185,"ep185","sC-yzDK2FGo","이달의소녀탐구 #185 (LOONA TV #185)","September 25, 2017","ODD EYE CIRCLE","Choerry, JinSoul, Kim Lip","--","Valentine Girl","Los Angeles","0:03 -- Arrival at hotel. ODD EYE CIRCLE is tired.\n0:18 -- ODD EYE CIRCLE transformed after taking rest.\n0:28 -- Girl Front MV shooting begins.\n0:43 -- JS: “Hi~”; Choerry: “Hi. What’s your name?” The PD praises Choerry’s English.",98013,3887,204
186,"ep186","5n0KPLSa3eU","이달의소녀탐구 #186 (LOONA TV #186)","September 26, 2017","ODD EYE CIRCLE","Choerry, JinSoul, Kim Lip","--","Starlight","Los Angeles","0:03 -- On the way to their next shooting site. \n0:10 -- Lip is tired because they stayed up for 2 nights.\n0:24 -- JinSoul asks what comes to Lip’s mind when she hears summer vacation?",82651,3005,96
187,"ep187","CjSiqz-wZ5o","이달의소녀탐구 #187 (LOONA TV #187)","September 27, 2017","ODD EYE CIRCLE","Choerry, JinSoul, Kim Lip","--","Girl Front","Santa Monica Beach, LA","0:10 -- They are all excited to be here and Lippie takes a picture. \n0:20 -- :choerryhype:\nThe rest is just photoshoot.",88635,3628,144
188,"ep188","XgntxUS-W3I","이달의소녀탐구 #188 (LOONA TV #188)","September 28, 2017","ODD EYE CIRCLE","Choerry, JinSoul, Kim Lip","--","Starlight","Santa Monica Beach, LA","ODD EYE CIRCLE in the amusement park. They go on a rollercoaster.\n0:15 -- LipSoul are losing it while Choerry is excited.\n0:30 -- Choerry: “Uh-mazin!” “One more time!”\n0:48 -- DING! They got (fan) mail.",95142,3961,165
189,"ep189","N1yRA3-5B_c","이달의소녀탐구 #189 (LOONA TV #189)","September 29, 2017","ODD EYE CIRCLE","Choerry, JinSoul, Kim Lip","--","LOONATIC","Desert, LA","0:07 -- Lippie: “We’re not gonna die here… right?” as she worries about the heat.\n0:28: Choerry: “ri-lo ri-lo ri~~~” (Queen of Positivity…)\n0:40 -- Suddenly the winds starts to blow.",82431,2976,147
190,"ep190","RHBziGG6KR8","이달의소녀탐구 #190 (LOONA TV #190)","October 10, 2017","ODD EYE CIRCLE","Choerry, JinSoul, Kim Lip","--","Girl Front","Desert, LA","0:07 -- It is windy and it is messing up JinSoul’s hair.\n0:21 -- LipRry do a wavy dance in the wind.\n0:30 -- The wind is making it hard for them to see but they still have the photoshoot.",77084,2884,123
191,"ep191","M4Xrb10jeUg","이달의소녀탐구 #191 (LOONA TV #191)","October 11, 2017","ODD EYE CIRCLE","Choerry, JinSoul, Kim Lip","--","Starlight","Los Angeles","ODD EYE CIRCLE’s third day is also a photoshoot. \n0:17 -- SoulRry mimic a cat.\n0:25 -- JinSoul imitates Doraemon and Choerry mimics Crayon Shin Chan.\n0:45 -- Choerry imitates HyunJin while singing Around You.",82421,3297,111
192,"ep192","kOS617DCaDY","이달의소녀탐구 #192 (LOOΠΔ TV #192)","October 12, 2017","ODD EYE CIRCLE","Choerry, JinSoul, Kim Lip","--","Girl Front","Los Angeles","The photoshoot in LA ends.\n0:33 -- The trio made slogans for ODD EYE CIRCLE and they proceed to demonstrate them ?.",81899,3363,145
193,"ep193","m8jiOjKVuaw","이달의소녀탐구 #193 (LOONA TV #193)","October 13, 2017","ODD EYE CIRCLE","Choerry, Kim Lip, JinSoul, YeoJin, HaSeul","--","Chaotic, Kiss Later","Los Angeles","0:04 -- PD asks JinSoul whether she is tired and JinSoul replies that she is fine. Choerry adds that she isn’t tired.\n0:14 -- Lippie explains that Choerry said that Soul should be tired because she is 4 years older. Soul: “Choerry really has pride of her age.”\n0:26 -- The three share a room with YeoJin and it is just YeoJin alone right now so they wrote her a letter. Then they start being mean to her (in a friendly way ofc)\n0:45 -- Cut to YeoSeul who are having fun.",75665,3039,126
194,"ep194","DDySrWhfYbc","이달의소녀탐구 #194 (LOONA TV #194)","October 16, 2017","ODD EYE CIRCLE","Choerry, JinSoul, Kim Lip","--","Girl Front","Los Angeles","0:09 -- The Girl Front MV shoot begins.\n0:30 -- Choerry (imitating a siren): “booboobooboom~”\n0:32 -- SHOW ME THE LOOΠΔ. JinSoul raps her part in Girl Front in front of graffiti.\n0:35 -- Choerry (mimicking a DJ): “Guchi-guchigucha~~”, tries rapping and embarrassed herself.",74678,2999,137
195,"ep195","8uKJZX4mm7M","이달의소녀탐구 #195 (LOONA TV #195)","October 18, 2017","ODD EYE CIRCLE","Choerry, JinSoul, Kim Lip","--","Chaotic","Los Angeles River","0:20 -- SoulRry recall that they had to run in their MV’s but Lip did not.\n0:27 -- Kim Lip running in the hot weather.\n0:44 -- Kim Lip flying kiss ?.",71279,2849,123
196,"ep196","waUpUQiHCYo","이달의소녀탐구 #196 (LOONA TV #196)","October 19, 2017","ODD EYE CIRCLE","Choerry, JinSoul, Kim Lip","--","LOONATIC","Los Angeles","0:13 -- LipRry try to converse in English. Choerry: “Kim Lip, Aww so beautiful”\n0:22 -- They take a picture with local staff. Lip asks him in English.\n0:36 -- Soul joins them and introduces herself in English. “You know we?” LipSoul promote to the staff.",88376,3888,212
197,"ep197","akiyQCUhPx0","이달의소녀탐구 #197 (LOONA TV #197)","October 20, 2017","ODD EYE CIRCLE","Choerry, JinSoul, Kim Lip","--","Girl Front","Los Angeles","Last shooting day.\n0:12 -- Choerry talking about squirrels and mimicking them feeding on peanuts.\n0:31 -- She feeds a squirrel. LipSoul envy her.",69465,2964,88
198,"ep198","gUnJs221iZ0","이달의소녀탐구 #198 (LOONA TV #198)","October 21, 2017","ODD EYE CIRCLE","Choerry, JinSoul, Kim Lip","--","LOONATIC","Desert, LA","0:15 -- ODD EYE CIRCLE arrives to the desert to shoot the MV in school uniforms. Lip’s lips are becoming dry.\n0:30 -- LipRry are pricked by thorns. They are still optimistic in the extreme conditions.",69441,2767,128
