id,"contentID","videoID","title","date","era","members","blurred","songs","location","summary",views,likes,comments
427,"ep427","2S9PGvnuXUY","이달의소녀탐구 #427 (LOONA TV #427)","October 29, 2018","[++]","LOOΠΔ","--","--","BBC Practice Room","This episode starts off in the BBC practice room. 3 days before LOOΠΔbirth. They practice their dance for favOriTe for LOOΠΔbirth.\n0:47 -- Choerry: “I feel nervous even though this is a rehearsal. I hope I don't make any mistakes at the concert. Fighting~”",72597,7698,627
428,"ep428","_sCxASVDTIM","이달의소녀탐구 #428 (LOOΠΔ TV #428)","October 30, 2018","[++]","LOOΠΔ","--","ViViD, I'll Be There, Love&Live, Hi High","BBC Practice Room","0:01 -- HeeJin, then joined by HyunJin, and then by ⅓ practice their solos for the concert.\n0:16 -- LOOΠΔ TV PD was talking to Olivia Hye when they turn off the light by mistake. She is joined by JinSoul, Kim Lip, and Go Won as she narrates a similar incident.\n0:43 -- JinSoul mentions that it's D-3 and the Hi High teaser was posted on the same day. She si joined by everyone later on.\n0:53 -- JinSoul: “I guess the beat of the song is fastest among all the girl groups.”",55073,5644,321
429,"ep429","WC6aqJCg93A","이달의소녀탐구 #429 (LOONA TV #429)","October 31, 2018","[++]","LOOΠΔ","--","Eclipse, Singing in the Rain, Love Cherry Motion","BBC Practice Room","0:01 -- HyunJin sits behind a wire and passes a smile to the camera\n0:08 -- All OEC members practice their steps. \n0:19 -- As JinSoul practices 'Singing in the Rain', everyone else dances with her on the corner.\n0:26 -- HeeJin is excited to show the performances to the fans.\n0:38 -- Go Won tells Yves that their stages are the finale of the event when Yves says that they have to wait for ⅓ and OEC. - Yves: “The heroine is always appeared in the end!”\n0:50 -- Chuu seems stressed about her performance. Meanwhile BreadJin is making faces at the camera behind her.\n0:58 -- Go Won points out that Chuu dyed her hair.",55193,5781,310
430,"ep430","UQKYU9YmCgc","이달의소녀탐구 #430 (LOONA TV #430)","November 1, 2018","[++]","ViVi, Chuu, HeeJin, YeoJin, Yves","--","Kiss Later, new, Heart Attack","BBC Practice Room","0:01 -- Chuu whispers something to HeeJin while ViVi talks to the camera. She explains that they are trying to talk through glass.\n0:12 -- ViVi points out her bangs. She also says that she has to wear them like Chuu everyday. ChuuHee try to steal ViVi's spotlight in the background.\n0:32 -- Everyone continues to show off their performances. Chuu seems a little too passionate with her hair flying all over her.\n0:52 -- ChuuHee hug each other tightly once again. HeeJin tells her how she watched her perfomance like a mom.",71437,6828,468
431,"ep431","d0QRG1ckQxc","이달의소녀탐구 #431 (LOONA TV #431)","November 2, 2018","[++]","LOOΠΔ","--","Perfect Love, Hi High","BBC Practice Room","0:01 -- Everyone is still practicing for the concert.\n0:21 -- The practice ends and YeoJin is hugging Go Won and HeeJin while yelling noises. The two are jealous of HeeJin caus she didn't sweat much.\n0:20 -- MomSeul: “How was it everyone?”Chuu: I am really happy!”\n0:37 -- YeoJin: “🐸” to HeeJin saying that she doesn't sweat a lot.\n0:40 -- She asks HeeJin if she is excited completely out of context and gets a soulless “Yeah~”. Bread queen is still busy making faces at the camera while holding a thumbs up.\n0:52 -- Go Won: “Can you do it well on Sunday?”- YeoJin: “Of cour...”\nThe episode ends with a Go Won-HeeJin-YeoJin cross.",58315,5658,426
432,"ep432","5XOrSj1BHRs","이달의소녀탐구 #432 (LOONA TV #432)","November 5, 2018","[++]","LOOΠΔ","--","Hi High","Debut Concert - LOOΠΔBirth Location","The day before LOOΠΔbirth. Everyone greets the LTV camera for around 23 seconds.\n0:23 -- PD: “What made you guys dress up so nicely?”Everyone mentions the rehearsal.\n0:28 -- Everyone seems to like the waiting room.\nYves: “Indeed. It is just that meaningful and touching moment for me”\n0:37 -- They all get excited when the hear the song. They were also touched to see some fans waiting for them even though it isn't the day of the concert.\n0:56 -- YeoJin continues to speak on behalf of the rest and Chuu calls her the greatest MC!",50870,5639,425
433,"ep433","VViLo4OO6bk","이달의소녀탐구 #433 (LOONA TV #433)","November 6, 2018","[++]","OEC, Olivia Hye, Go Won","--","열기 (9) [Yeolgi (9)]","Debut Concert - LOOΠΔBirth Location","0:01 -- Olivia Hye and JinSoul are nervous as they think the stage is quite big. But they are unable to find the stage.\n0:12 -- We get a stage tour with LipRry. All five greet the staff with courtesy\n0:47 -- All the OEC members are there. Kim Lip tries to say something. She almost yells it as the music is too loud but at the same time, the music stops.\nThe episode ends with OEC acting like they are greeting Orbits.",49318,5375,226
434,"ep434","GYPoizQIaMs","이달의소녀탐구 #434 (LOONA TV #434)","November 7, 2018","[++]","LOOΠΔ","--","열기 (9) [Yeolgi (9)], Perfect Love","Debut Concert - LOOΠΔBirth Location","0:01 -- The girls are practicing for the performance.\n0:12 -- Choerry and YeoJin point out their 'Artist' tags. “Hello, we are artist”\n0:28 -- Go Won flaunts her dyed hair.\n0:42 -- It is HaSeul's birthday but she keeps forgetting. HyunJin: “Birthday Bread!”\n0:57 -- HaSeul tells HyunJin that she lost weight that makes her happy.",62725,6533,425
435,"ep435","RLzOQ4QuvOg","이달의소녀탐구 #435 (LOONA TV #435)","November 8, 2018","[++]","Go Won, HeeJin, Kim Lip, Choerry, Olivia Hye, HaSeul, YeoJin, Chuu","--","favOriTe","Debut Concert - LOOΠΔBirth Location","0:01 -- HeeJin is messing up Go Won's hair. They are practicing the “Oo aa oo aa” step for Hi High.\n0:17 -- The two think they look alike but Kim Lip disagrees. (I side with Kim Lip on this one)\n0:24 -- The two '00 liners don't add Lippie since she is a '99 liner.\n0:32 -- The '01 liners (Choerry and Olivia Hye) show up. Hye: “Choerry and OEC will sing Rosy today.\n0:47 -- HaSeul: “It's a blur party!”- while reffering to the blurred people in the mirrors. Suddenly, YeoJin calls HaSeul to help her with her dress.\n0:56 -- Chuu ends the episode with her DJ sounds.",48988,5271,327
436,"ep436","moPW8t_k6Pg","이달의소녀탐구 #436 (LOONA TV #436)","November 9, 2018","[++]","Yves, YeoJin","--","rendezvous 1.86y","Debut Concert - LOOΠΔBirth Location","0:01 -- The tallest and the shortest (Yves and YeoJin for new people) start the episode. (Tilting the camera is necessary to fit them both in a single frame.)\n0:10 -- YiYeo! have a lot of dance steps together and they mention some. They also do the one from Hi High.\n0:38 -- They talk about their height difference and how the camera would have to work if Yves grew taller and YeoJin became shorter.\n0:53 -- The episode ends with the two deciding on a ship name.",48635,5368,298
