id,"contentID","videoID","title","date","era","members","blurred","songs","location","summary",views,likes,comments
508,"ep508","Sgi3_4U-dVo","이달의소녀탐구 #508 (LOONA TV #508)","March 29, 2019","LOOΠΔVERSE Concert","LOOΠΔ","--","love4eva, Love&Live, Curiousity","BBC Practice Room","0:01 -- Go Won starts the new era with herself and she wanted to be the intro hence she is the intro.\n0:11 - ⅓ is preparing for their cover for love4eva.\n0:20 -- JinSoul gives her opinion on their choereo and mentions how HeeJin winked even when she wasn't in the center.\n0:35 -- Heejin had to cover Chuu. YeoJin: “You were Chuu” and she proceeds to do a weird step.\n0:41 -- yyxy is practicing Love&Live.\n0:50 -- Chuu is really confused and can't think straight and hopes she can make it through.\n0:56 -- The entire group prepares for their performance of Curiousity.",38855,4081,218
509,"ep509","rznz1U65Rz0","이달의소녀탐구 #509 (LOONA TV #509)","March 30, 2019","LOOΠΔVERSE Concert","LOOΠΔ","--","Hi High, Kiss Later, Butterfly","BBC Practice Room","0:01 -- HyunJin Swag Hours as she flexes her sunglasses.\n0:18 -- She is stil practicing despite being tired. She is motivated by the memory of the Orbits doing the fanchants in the previous concerts. (Aeongie serious moment... this is something we don't see often)\n0:38 -- The group prepares for Butterfly. They have 3 days until the show and Choerry moticates all by saying that they need to work hard. Yves was just about to take a break (welp!)",38421,4072,217
510,"ep510","v_adoA9yocs","이달의소녀탐구 #510 (LOONA TV #510)","April 1, 2019","LOOΠΔVERSE Concert","LOOΠΔ","--","Perfect Love, Colors, Butterfly","BBC Practice Room","0:01 -- Everyone is really excited with the merch. JinSoul even shows off some moves and says that she likes all black.\n0:25 -- Chuu reminds Choerry that the concert is tomorrow.\n0:31 -- HaSeul will be practicing the reciting of her memory of August and hopes everyone takes amazing shots.\n0:35 -- The group is headed to the rehearsal. - YeoJin: “A tense moment!”",43881,5214,533
511,"ep511","LEUBcXyArCw","이달의소녀탐구 #511 (LOONA TV #511)","April 2, 2019","LOOΠΔVERSE Concert","⅓, yyxy","--","Kiss Later, love4eva","BBC Practice Room","0:05 -- HyunJin gets the camera first. “I am nervous and I am feeling good.”\n0:11 -- A suspicious frog is approaching her. The head keeps spinning around.\n0:24 -- YeoJin asks if this is some kind of affair as the frog is too close to HyunJin.\n0:35 -- The frog was HeeJin and she is now practicing on her guitar.\n0:48 -- HaSeul prepares the 'yyxy' intro and Olivia critiques her. Out of nowhere, Go Won pops in to show how it's done.",49219,5633,334
512,"ep512","CcK85FUuTmI","이달의소녀탐구 #512 (LOONA TV #512)","April 3, 2019","LOOΠΔVERSE Concert","LOOΠΔ","--","Curiousity, new","BBC Practice Room","LOOΠΔ is busy autographing their photocards for Orbits.\n0:15 -- They all show off how many they have done. Choerry wins.\n0:21 -- Hyejoo says that her autographs are relatively simple but her actual signatures aren't.\n0:37 -- Yves: “I have another job to do other than this labor work and that is to sing~ Good bye~” as she teases the camera.\n0:50 -- The concert rehearsal ends successfully.",40031,4735,186
513,"ep513","GAkzcXq4pUM","이달의소녀탐구 #513 (LOONA TV #513)","April 4, 2019","LOOΠΔVERSE Concert","LOOΠΔ","--","Hi High","LOOΠΔVERSE Concert Location","The first day of LOOΠΔVERSE begins and every one is pretty hyped.\n0:25 -- HeeJin: “It is 4:20 right now. This is exclusively for our Orbits~” She is so ambitious that she will burn the stage today.\n0:30 -- With 1 hour left, YeoJin is not nervous. “Maybe I'll be in 30 minutes...?” Meanwhile JinSoul and Yves are nervous\n0:53 -- “If you mess up, pretend that you didn't!” ~Chuu, 2k19",41151,4472,216
514,"ep514","yPcnlpphVVM","이달의소녀탐구 #514 (LOONA TV #514)","April 5, 2019","LOOΠΔVERSE Concert","LOOΠΔ","--","Curiousity, love4eva, new","LOOΠΔVERSE Concert Location","The first day finally begins. The episode show cases some snippets of the event.\nLOOΠΔ's Curiousity | LOOΠΔ ⅓'s love4eva | Yves' new\n0:22 -- Yves is ready to perform her solo performance of new. YeoJin just glances at her.\n0:35 -- Yves: “Here we have an elementary school kid ready to attend her piano recital” while refferring to out maknae.\n0:39 -- YeoJin grabs a stool and tries to act taller than Yves. But Yves does the same and evens it out.",40121,4804,244
515,"ep515","9lb1h0v3s2s","이달의소녀탐구 #515 (LOONA TV #515)","April 6, 2019","LOOΠΔVERSE Concert","LOOΠΔ","--","Sweet Crazy Love, Heart Attack, Butterfly","LOOΠΔVERSE Concert Location","Some more snippets from the event.\nOEC's Sweet Crazy Love | Chuu's Heart Attack | LOOΠΔ's Butterfly\n0:06 -- Chuu says that she has to get shot by the arrow. She is planning on how she has to react after getting hit.\n0:16 -- She recites her encounter with Kim Lip at school in the form of Heart Attack (since it is Kim Lip who will be launching the arrow).\n0:47 -- Day 1 finally comes to an end and everyone seems satisfied.\n[Day 2! Let's go!!]",52467,5643,185
516,"ep516","vtQyDRDtxoI","이달의소녀탐구 #516 (LOONA TV #516)","April 8, 2019","LOOΠΔVERSE Concert","Choerry, HyunJin, Chuu, HeeJin","--","Stylish","LOOΠΔVERSE Concert Location","0:01 -- Choerry English speaking hours. “Hello!... Today is... LOOΠΔVERSE Concert... Second Day~ Thank You~.”\nHyunJin pops out of nowhere. “I'm Aeongie.” and starts speaking Japanese.\n0:20 -- Choerry and HyunJin now converse in Japanese.\n0:28 -- HyunJin speaks Aeongese.\n0:36 -- Chuu is holding a lollipop that glitters and that is her cheering stick. She asks for HeeJin's input regarding the second day.\n0:54 -- ChuuHee hug.",41311,5158,294
517,"ep517","8Y8uy1Si0t8","이달의소녀탐구 #517 (LOONA TV #517)","April 9, 2019","LOOΠΔVERSE Concert","OEC, Go Won, Olivia Hye","--","Colors, Girl Front, One&Only","LOOΠΔVERSE Concert Location","0:01 -- OEC practices in waiting room. - Kim Lip: “Other groups don't practice like us~”\n0:14 -- Lip shows the earring she got from JinSoul on her birthday. - JinSoul: “I spent a lot of $$$ this year so I am expecting something good in return ?”. - Kim Lip: “I'm broke... but JinSoul is not”\n0:41 -- Go Won and Hyejoo have a battle on the corner and they show their red arms. “I got hurt”",50400,4744,345
