id,"contentID","videoID","title","date","era","members","blurred","songs","location","summary",views,likes,comments
99,"ep99","-voPljd-CAw","이달의소녀탐구 #99 라이브예고 (LOONA TV #99 Surprise)","April 21, 2017","LOONA Pre-Debut","ViVi, YeoJin, HaSeul, HyunJin, HeeJin","--","ViVid, I’ll Be There, Let Me In, The Carol, Kiss Later, Love&Live, You and Me Together","All of the locations visited upto now.","Recap of the whole journey until now.\n0:35 -- Announces the #100 LOOΠΔ TV V-Live Special Episode.",81943,3184,133
100,"ep100","5r8Lag0zhOk","이달의소녀탐구 #100 (LOONA TV #100)","April 24, 2017","LOONA Pre-Debut","ViVi, YeoJin, HaSeul, HyunJin, HeeJin","--","ViVid, I’ll Be There, Let Me In, The Carol, Kiss Later, Love&Live","BBC Dorms","LOOΠΔ 1/3 celebrate the 100th episode of LOOΠΔ TV! Yay!\n0:40 -- Love hearts from all the members!\n0:42 -- ViVi say “Johayo” and HaSeul mocks her by repeating it.\n0:48 -- “Until now, we were Loona!” Loona waves goodbye\n0:51 -- The members start one-upping each other on which episode LOOΠΔ TV could get to.\nHonestly, there’s not much going on in this episode.Although it is some of the girls’ favourite episode, according to episode 200.",91872,3786,172
200,"ep200","djZyeAWUILA","이달의소녀탐구 #200 (LOONA TV #200)","October 27, 2017","LOONA Pre-Debut","YeoJin (Main), OT8 ","--","Kiss Later","BBC Sets (?)","0:02 -- Wild maknae appears.\n0:48 -- BEST LOOΠΔ TV EPISODES PICKED BY LOOΠΔ.\nI won't be spoiling this one. This is too funny and summarizing it will mean me writing an essay. Go watch!",149186,8226,686
285,"ep285","3rb2oMGrrNU","이달의소녀탐구 #285 (LOONA TV #285)","March 3, 2018","LOONA Pre-Debut","⅓, Chuu, SoulRry, LipVes, Go Won","Olivia Hye","Love & Live","Cinematic Theory Teaser Shoot Location","0:02 -- Wild 2Jin appear!\n0:07 -- A recap to all the members that appeared on Loona TV as of now.\n0:10 -- Chuu’s memeable “ㄹㄹㄹ~” while winking. (She is a meme)\n0:16 -- YeoJin/ViVi: “Saranghandei~”\n0:19 -- Yves’ wink. \nWe will see many new more ships soon.\n0:39 -- “Hello. The 12th member of LOOΠΔ~”",116181,7883,1130
286,"ep286","9LUd9Mx01X8","이달의소녀탐구 #286 (LOONA TV #286)","March 5, 2018","LOONA Pre-Debut","HeeJin, YeoJin","--","ViViD","Cinematic Theory Teaser Shoot Location","0:02 -- HeeJIn talks about her makeup. She also adds details about the concept.\n0:21 -- YeoJin: “Your are GeomKki from now.” HeeJin: “No, I’m HeeKki.\n0:31 -- The two play with the rabbit from HeeJin’s cinematic theory teaser.",85720,4919,257
287,"ep287","KjKTC4JvAjs","이달의소녀탐구 #287 (LOONA TV #287)","March 6, 2018","LOONA Pre-Debut","HeeJin","--","ViViD","Cinematic Theory Teaser Shoot Location","0:07 -- HeeKki meets GeomKki and starts her shoot.\n0:51 -- She hopes that it turns out pretty.",82144,5192,289
288,"ep288","JDGnPcE9tQc","이달의소녀탐구 #288 (LOOΠΔ TV #288)","March 7, 2018","LOONA Pre-Debut","HyunJin, HeeJin, YeoJin, HaSeul","--","Into The New Heart, Valentine Girl","Cinematic Theory Teaser Shoot Location","0:18 -- HeeJin: “Hello, we’re 3Jin and we are pretty.” HyunJin does ugly face here\n0:36 -- The actors, HyunSeul unite and discuss about Womanna. They have a small quarrel. ",82401,4764,306
289,"ep289","O2vph-aR5y0","이달의소녀탐구 #289 (LOONA TV #289)","March 9, 2018","LOONA Pre-Debut","HyunJin, HeeJin, HaSeul, YeoJin, ViVi","--","Around You","Cinematic Theory Teaser Shoot Location","0:05 -- 2Jin admire the cat. HyunJin: “I’m gonna raise 4 cats.” (LOOCΔT ⅓) Cat lady confirmed.\n0:28 -- Rest of ⅓ roots for the cat. (Not HyunJin apparently)\n0:47 -- HyunJin realizes Cat Fur and rethinks her decision to raise cats.",80664,4864,263
290,"ep290","qeFwx7Nrldk","이달의소녀탐구 #290 (LOONA TV #290)","March 10, 2018","LOONA Pre-Debut","HyunJin, HeeJin","--","I’ll Be There","Cinematic Theory Teaser Shoot Location","0:10 -- 2Jin missed LOOΠΔ TV. They show their selfies. #2016 LOOΠΔ TV flashbacks.",82765,4929,273
291,"ep291","2YlmVuwbgPc","이달의소녀탐구 #291 (LOONA TV #291)","March 12, 2018","LOONA Pre-Debut","HaSeul, Kim Lip, ViVi, Go Won","--","Valentine Girl, You and Me Together","Cinematic Theory Teaser Shoot Location","0:02 -- MomSeul displays the LOOΠΑTIC’s wand and explains what is means.“LOOΠΔ means the moon and the fans are the stars”\n0:28 -- Cho PD interviews Lippie, ViVI, and Go Won\n0:44 -- Chaewonnie: “And you talk too much!”",89421,5324,417
292,"ep292","HqYMfPOEY4A","이달의소녀탐구 #292 (LOONA TV #292)","March 13, 2018","LOONA Pre-Debut","HaSeul, Yves, Kim Lip, HyunJin, HeeJin","--","Let Me In","Cinematic Theory Teaser Shoot Location","0:09 -- HaSeul is dressed up as a bird to shoot her part of the teaser. “Don’t I look like the queen of birds?” Then she starts dancing. Yves enters while doing her Ostrich dance.\n0:25 -- HyunJin PD takes over while showing LipSeul dancing. “You look like a tribal chief, not a swan!” 2Jin feel like the birds nest is beautiful.",77084,4141,143
293,"ep293","o-K3FsC4QIk","이달의소녀탐구 #293 (LOONA TV #293)","March 14, 2018","LOONA Pre-Debut","YeoJin, HeeJin, ViVi, Choerry, Go Won, Yves, Chuu, JinSoul","--","Kiss Later","Cinematic Theory Teaser Shoot Location","0:08 -- YeoJin’ s Hot Pack Dance.\n0:28 -- YeoJin holds up the wand while saying “Take my heart! Tada~!”\n0:36 -- YeoJin calling Choerry and Go Won cute (they are tbh…). Choerry: “Somebody help me~~!”. YeoJin does the same to Yves. \n0:55 -- Chuu to Lip PD: “She looks like a baby~”",101069,5330,364
294,"ep294","8KkGzsS9iJ4","이달의소녀탐구 #294 (LOONA TV #294)","March 15, 2018","LOONA Pre-Debut","YeoJin, HaSeul, Yves","--","Kiss Later","Cinematic Theory Teaser Shoot Location","0:16 -- YeoJin is shooting her part as MomSeul cheers for her. She looks serious all of a sudden.\n0:21 -- YeoJin felt like she could do well but due to the cold weather, she could not.\n0:42 -- HaSeul and Yves try to cheer her up.",90960,5189,403
